City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
49,Utrik,11.2278,169.8474,301.42,79,94,"{'speed': 6.64, 'deg': 81, 'gust': 7.41}",MH,1690236067
50,Ketchikan,55.3422,-131.6461,293.41,60,0,"{'speed': 4.63, 'deg': 310}",US,1690236334
51,Bojnurd,37.4747,57.329,297.12,25,0,"{'speed': 1.03, 'deg': 0}",IR,1690236335
52,Whitehorse,60.7161,-135.0538,289.58,72,75,"{'speed': 3.6, 'deg': 150}",CA,1690236083
53,Alenquer,-1.9417,-54.7383,302.97,49,59,"{'speed': 0.68, 'deg': 246, 'gust': 1.39}",BR,1690236336
54,La'Ie,21.6477,-157.9253,304.13,71,38,"{'speed': 7.06, 'deg': 80, 'gust': 9.14}",US,1690236336
55,Homer,59.6425,-151.5483,291.51,68,0,"{'speed': 7.2, 'deg': 250}",US,1690236337
56,Nar'Yan-Mar,67.6713,53.087,288.74,79,100,"{'speed': 3.16, 'deg': 156, 'gust': 4.17}",RU,1690236084
57,Wailua Homesteads,22.0669,-159.378,301.39,84,100,"{'speed': 6.17, 'deg': 30}",US,1690236338
58,Gulf Shores,30.246,-87.7008,306.12,58,0,"{'speed': 4.63, 'deg': 200}",US,1690236339
59,Nanping,26.645,118.1736,297.73,97,59,"{'speed': 0.92, 'deg': 117, 'gust': 0.95}",CN,1690236339
60,Zaragoza,41.6561,-0.8773,294.4,54,0,"{'speed': 9.77, 'deg': 290}",ES,1690236341
61,Kalmunai,7.4167,81.8167,300.06,76,99,"{'speed': 2.13, 'deg': 195, 'gust': 2.21}",LK,1690236342
62,Mount Gambier,-37.8333,140.7667,281.67,82,84,"{'speed': 1.07, 'deg': 351, 'gust': 1.36}",AU,1690236342
63,Cabo San Lucas,22.8909,-109.9124,307.93,70,40,"{'speed': 5.14, 'deg': 150}",MX,1690236343
64,Camiri,-20.05,-63.5167,290.03,51,100,"{'speed': 0, 'deg': 0}",BO,1690236344
65,Bethel,41.3712,-73.414,302.34,56,0,"{'speed': 5.66, 'deg': 210, 'gust': 9.26}",US,1690236345
66,Sangmelima,2.9333,11.9833,292.79,99,94,"{'speed': 1.17, 'deg': 273, 'gust': 6.07}",CM,1690236345
67,Lihue,21.9789,-159.3672,301.73,82,41,"{'speed': 4.66, 'deg': 69, 'gust': 5.5}",US,1690236062
68,Viedma,-40.8135,-62.9967,279.89,67,94,"{'speed': 6.28, 'deg': 39, 'gust': 11.03}",AR,1690236346
69,Vorkuta,67.5,64.0,289.13,74,96,"{'speed': 1.27, 'deg': 168, 'gust': 1.3}",RU,1690236080
70,Bonthe,7.5264,-12.505,298.19,88,99,"{'speed': 3.93, 'deg': 209, 'gust': 6.01}",SL,1690236347
71,Anadyr,64.75,177.4833,284.43,93,100,"{'speed': 5, 'deg': 90}",RU,1690236348
72,Aasiaat,68.7098,-52.8699,276.35,98,97,"{'speed': 2.85, 'deg': 276, 'gust': 3.05}",GL,1690236349
73,Callao,-12.0667,-77.15,295.31,64,20,"{'speed': 7.72, 'deg': 160}",PE,1690236349
74,Yemva,62.59,50.8594,286.38,95,100,"{'speed': 2.03, 'deg': 165, 'gust': 6.76}",RU,1690236350
75,Keflavik,64.0049,-22.5624,284.39,82,75,"{'speed': 2.57, 'deg': 210}",IS,1690236350
76,Iqaluit,63.7506,-68.5145,281.0,75,75,"{'speed': 3.6, 'deg': 160}",CA,1690236062
77,Puerto Ayora,-0.7393,-90.3518,303.13,98,70,"{'speed': 1.34, 'deg': 216, 'gust': 3.58}",EC,1690236352
78,Bwizibwera,-0.5917,30.6286,292.42,62,74,"{'speed': 0.41, 'deg': 234, 'gust': 0.72}",UG,1690236352
79,Lapinlahti,65.5833,30.5667,284.7,99,100,"{'speed': 2.09, 'deg': 348, 'gust': 5.8}",RU,1690236353
80,Torquay,50.4638,-3.5143,287.79,85,55,"{'speed': 0.45, 'deg': 293, 'gust': 0.89}",GB,1690236353
81,Djamaa,33.5339,5.9931,308.62,8,0,"{'speed': 3.55, 'deg': 189, 'gust': 3.7}",DZ,1690236354
82,Alo,7.4178,6.7371,295.83,99,92,"{'speed': 1.88, 'deg': 180, 'gust': 5.45}",NG,1690236354
83,Arkhangel'Sk,64.5401,40.5433,283.71,98,41,"{'speed': 2.03, 'deg': 164, 'gust': 4.8}",RU,1690236150
84,Murzuq,25.9155,13.9184,306.38,15,0,"{'speed': 4.19, 'deg': 108, 'gust': 4.42}",LY,1690236355
85,Alice Springs,-23.7,133.8833,274.9,87,0,"{'speed': 2.57, 'deg': 250}",AU,1690236356
86,Nagqu,31.5,92.0,277.42,93,100,"{'speed': 1.84, 'deg': 84, 'gust': 2.2}",CN,1690236357
87,Kikwit,-5.041,18.8162,301.03,43,88,"{'speed': 0.7, 'deg': 273, 'gust': 0.73}",CD,1690236357
88,Papatowai,-46.5619,169.4708,281.34,83,89,"{'speed': 2.81, 'deg': 324, 'gust': 8.94}",NZ,1690236358
89,Nadym,65.5333,72.5167,291.86,76,97,"{'speed': 2.17, 'deg': 50, 'gust': 2.26}",RU,1690236145
90,Taltal,-25.4,-70.4833,288.9,84,27,"{'speed': 2.77, 'deg': 230, 'gust': 3.02}",CL,1690236359
91,Hithadhoo,-0.6,73.0833,301.51,78,100,"{'speed': 6.7, 'deg': 132, 'gust': 7.22}",MV,1690236360
